recipe_id,total_co2,emission_class,diet_labels,total_weight,number_of_ingredients
32,10097.081084543734,G,['Low-Carb'],1160.2902777773625,11
33,9993.759097270335,G,"['High-Protein', 'Low-Carb']",1074.9499999997358,9
34,3876.4002923810413,F,[],473.72504918471134,10
35,11285.871743664313,G,"['High-Protein', 'Low-Carb']",1259.7821973621246,3
36,8502.880949449474,G,['High-Fiber'],1821.4392,5
37,27313.256706955555,G,"['Low-Carb', 'Low-Sodium']",130.6892799111111,8
38,14022.591722122,F,['Low-Carb'],1587.9347400000001,5
39,13736.323185366,G,['Low-Carb'],1509.7159390360412,11
40,14598.547702590624,G,"['Balanced', 'High-Fiber']",3027.3533021875,6
41,14458.425485548036,G,['High-Fiber'],2050.314902152778,8
42,12604.968911418026,F,[],1641.4473179176148,15
43,12159.898239284608,G,[],1608.9996853422997,8
44,7565.846454169648,F,"['High-Protein', 'Low-Carb']",771.774006186507,4
45,12741.23,G,[],1433.8,5
46,6966.438274811713,E,"['Low-Carb', 'Low-Sodium']",1082.1139999998406,8
47,27513.331337800362,F,"['High-Protein', 'Low-Carb']",2484.993891074528,6
48,11651.09676,E,['Low-Sodium'],1828.1,5
49,7690.348737386191,F,[],899.649743593581,9
50,25142.0460934059,G,"['High-Protein', 'Low-Carb']",2763.349999999742,10
51,9209.431268826542,F,[],1278.4679553676726,10
52,18707.990209238953,G,['Low-Carb'],2052.863873844123,9
53,18357.26800023659,F,"['Low-Carb', 'Low-Sodium']",2551.90882775,5
54,7741.53045127018,E,[],938.9479444524842,9
55,6134.126558069936,F,['High-Protein'],890.3041666607612,9
56,14437.828742301777,G,['High-Fiber'],3369.0560800307812,14
57,18586.09081553559,G,['High-Fiber'],2205.960004809781,3
58,13063.530579199783,G,['Low-Carb'],1497.472095222169,12
59,7640.4390030592,F,[],1355.8904625,7
60,35728.54159233212,G,[],4651.33877739047,13
61,5956.9934330001015,F,['Low-Carb'],649.724838669383,5
62,20664.9278183533,G,"['High-Fiber', 'Low-Carb']",1957.6354166668407,14
63,3669.19745453751,E,"['High-Protein', 'Low-Fat']",459.49999999950796,5
64,17662.3063783338,G,['Low-Carb'],2016.1385231430618,7
65,18321.009883978542,G,[],2726.077574895834,7
66,19910.467425792274,G,[],2693.8795257979946,10
67,5997.19146455707,F,['Low-Carb'],649.5985691354372,11
68,6573.038855273074,F,"['High-Protein', 'Low-Carb']",783.9346486003434,11
69,14640.559544971287,G,['Low-Carb'],1714.738360667348,12
70,24565.69029204275,G,['High-Fiber'],2640.494670452499,14
71,8413.081780196608,F,['Low-Carb'],1013.4423700003238,11
72,16784.20263961577,F,['Balanced'],2873.8052096877705,10
73,15189.5731487,G,"['High-Fiber', 'Low-Carb']",1927.8316520897422,13
74,6649.29680842875,D,[],917.059375,6
75,8947.888523218598,F,[],1067.35,11
76,8517.966040660956,F,['Low-Carb'],1373.3803417961972,10
77,7493.912389042149,F,[],1255.4646300671875,14
78,13807.460656382314,F,"['High-Protein', 'Low-Carb']",1305.6981396976546,18
79,13587.720455270692,G,"['Low-Carb', 'Low-Sodium']",67.1118176532,5
80,12877.964835029332,F,['Low-Carb'],2386.7640825000817,13
81,1532.77812499886,F,[],180.93749999975591,4
82,11364.505846701037,F,['Low-Carb'],1393.0231033507328,9
83,11364.505846701037,F,['Low-Carb'],1393.0231033507328,9
84,5424.766977596702,F,['Low-Carb'],684.2218187503869,10
85,13950.723592380687,E,[],2415.3321226837656,8
86,4973.000576759999,G,['Low-Fat'],591.5694,6
87,10582.374288362747,G,['Low-Carb'],1201.718130721587,11
88,7869.484288566248,F,[],838.1882033333247,10
89,14356.782277129298,G,['Low-Carb'],1752.497354849639,11
90,16879.67041422854,G,['Low-Carb'],2060.0796827113404,6
91,14022.30651698228,G,['Low-Carb'],1635.4809250002643,10
92,6640.7780231424,F,[],922.5843686185567,5
93,14296.498064993497,F,['Low-Carb'],1836.7143090431941,13
94,8489.45632395412,F,"['High-Protein', 'Low-Sodium']",1298.1395966663192,10
95,13224.118087499577,F,['Low-Carb'],1262.1013002319587,3
96,2972.61549248135,F,['Low-Carb'],388.1942775,5
97,8329.11607556884,F,['Low-Carb'],976.1540140893899,12
98,32905.15403900133,G,[],4378.091005224175,13
99,20618.2136143893,G,['High-Fiber'],2599.236439528173,13
100,10532.311801739728,G,['Low-Carb'],1127.1041666666592,6
101,6682.284397856755,F,[],882.8979854111102,10
